parcelid,logerror,transactiondate,subdate
13872819,0,4/1/2016,201601
13896016,0.0962,4/1/2016,201601
11916304,0.0188,4/1/2016,201601
12229878,-0.1154,4/1/2016,201601
14365040,0.0178,4/1/2016,201601
11251631,-0.078,4/1/2016,201601
13918657,0.0392,4/1/2016,201601
14710649,0.004,4/1/2016,201601
14366651,-0.1054,4/1/2016,201601
11767927,-0.0899,4/1/2016,201601
10981110,0.01,4/1/2016,201601
13896100,0.179,4/1/2016,201601
10981417,-0.006,4/1/2016,201601
14483291,0.0344,4/1/2016,201601
10900015,0.0639,4/1/2016,201601
11908800,0.3825,4/1/2016,201601
11422524,0.1187,4/1/2016,201601
12723859,0.1089,4/1/2016,201601
13902249,-0.0141,4/1/2016,201601
12872748,0.0421,4/1/2016,201601
11664308,0.1089,4/1/2016,201601
13914106,0.0119,4/1/2016,201601
14636858,-0.0315,4/1/2016,201601
12270299,-0.137,4/1/2016,201601
12901047,0.0354,4/1/2016,201601
10865683,-0.0492,4/1/2016,201601
12616210,0.1765,4/1/2016,201601
10960001,0.0383,4/1/2016,201601
12002086,-0.0182,4/1/2016,201601
12300590,-0.0243,4/1/2016,201601
14674230,0.0917,4/1/2016,201601
14597760,-0.0243,4/1/2016,201601
14498398,0.0276,4/1/2016,201601
14615747,0.0373,4/1/2016,201601
10864723,-0.044,4/1/2016,201601
11037394,0.0198,4/1/2016,201601
11846598,-0.145,4/1/2016,201601
10958511,-0.0629,4/1/2016,201601
13954029,-0.0429,4/1/2016,201601
14339531,0.0334,4/1/2016,201601
13100508,0.0325,4/1/2016,201601
11548125,-0.3439,4/1/2016,201601
10907593,-0.0263,4/1/2016,201601
12095743,0.0188,4/1/2016,201601
13872388,0.0149,4/1/2016,201601
10741537,0.0296,4/1/2016,201601
13851543,0.0109,4/1/2016,201601
11567831,-0.003,4/1/2016,201601
17267250,0.0119,4/1/2016,201601
11768520,-0.0661,4/1/2016,201601
14270950,0.1169,4/1/2016,201601
13938654,0.0779,4/1/2016,201601
14419151,0.0751,4/1/2016,201601
14051738,0.008,4/1/2016,201601
14104070,0.0315,4/1/2016,201601
11309502,-0.0121,4/1/2016,201601
10904630,-0.006,4/1/2016,201601
13858454,0.004,4/1/2016,201601
14713723,0.0402,4/1/2016,201601
11166503,-0.002,4/1/2016,201601
11648653,0.0667,4/1/2016,201601
11022729,0.0315,4/1/2016,201601
14108170,0.0363,4/1/2016,201601
11143894,0.0188,4/1/2016,201601
14110831,0.0344,4/1/2016,201601
13859323,0.0998,4/1/2016,201601
17289794,0.0469,4/1/2016,201601
13971777,0.0788,4/1/2016,201601
17292862,0.007,4/1/2016,201601
10815023,0.4941,4/1/2016,201601
13013515,-0.0736,4/1/2016,201601
12029244,-0.003,4/1/2016,201601
11115579,0.0149,4/1/2016,201601
11115487,0.0507,4/1/2016,201601
11975142,-0.0263,4/1/2016,201601
12893149,-0.0408,4/1/2016,201601
13994443,-0.0715,4/1/2016,201601
17238099,-0.0161,4/1/2016,201601
12429744,0.003,4/1/2016,201601
11623495,-0.2144,4/1/2016,201601
12430575,0,4/1/2016,201601
12031070,0.0807,4/1/2016,201601
12945898,0.1124,4/1/2016,201601
10833093,0.0889,4/1/2016,201601
12044422,-0.0346,4/1/2016,201601
12422738,0.0149,4/1/2016,201601
12676375,-0.0356,4/1/2016,201601
12414769,-0.0587,4/1/2016,201601
13022682,-0.0545,4/1/2016,201601
10936299,-0.0253,4/1/2016,201601
10836431,0.1106,4/1/2016,201601
12418093,-0.0608,4/1/2016,201601
11121870,0.1026,4/1/2016,201601
11801228,0.005,4/1/2016,201601
12807257,0.1266,4/1/2016,201601
10915275,-0.0325,4/1/2016,201601
14207225,0.0421,4/1/2016,201601
10803962,-0.0274,4/1/2016,201601
14426804,0.0797,4/1/2016,201601
12523304,0.0315,4/1/2016,201601
11745005,0.0526,4/1/2016,201601
14601697,-0.0111,4/1/2016,201601
12818304,-0.0111,4/1/2016,201601
11973896,-0.0111,4/1/2016,201601
12686516,0.0296,4/1/2016,201601
14020348,-0.007,4/1/2016,201601
17195014,-0.006,4/1/2016,201601
12892344,-0.0253,4/1/2016,201601
11492012,-0.003,4/1/2016,201601
17240931,0.0344,4/1/2016,201601
14749589,-0.0141,4/1/2016,201601
11105509,0.003,4/1/2016,201601
12446142,0.007,4/1/2016,201601
12446547,-0.1936,4/1/2016,201601
12977321,-0.044,4/1/2016,201601
11970677,0.0469,4/1/2016,201601
12034787,-0.1312,4/1/2016,201601
11488257,0.0218,4/1/2016,201601
11887665,0.1053,4/1/2016,201601
14684078,0.006,4/1/2016,201601
17196448,0.0705,4/1/2016,201601
11713735,-0.0284,4/1/2016,201601
14604634,0.0129,4/1/2016,201601
12431924,0.0658,4/1/2016,201601
14428379,-0.0576,4/1/2016,201601
12832944,-0.008,4/1/2016,201601
11158358,-0.0171,4/1/2016,201601
14603678,-0.003,4/1/2016,201601
14003170,0.0149,4/1/2016,201601
12452910,-0.1065,4/1/2016,201601
14217233,-0.0151,4/1/2016,201601
14664394,-0.003,4/1/2016,201601
11158382,0.0797,4/1/2016,201601
11628112,0.1053,4/1/2016,201601
12689469,-0.408,4/1/2016,201601
11624673,0.003,4/1/2016,201601
12823622,0.0421,4/1/2016,201601
10826295,-0.0346,4/1/2016,201601
12804224,0.4929,4/1/2016,201601
12884867,-0.006,4/1/2016,201601
11397664,0.0853,4/1/2016,201601
14624570,-0.0367,4/1/2016,201601
12026299,0.0159,4/1/2016,201601
12407264,0.0363,4/1/2016,201601
12683534,-0.0704,4/1/2016,201601
12406804,-0.1985,4/1/2016,201601
11195818,-0.0534,4/1/2016,201601
14167564,0.0363,4/1/2016,201601
10774688,0.0363,4/1/2016,201601
13032519,-0.0367,4/1/2016,201601
10756691,1.083,4/1/2016,201601
14166471,-0.0346,4/1/2016,201601
14166394,-0.1613,4/1/2016,201601
11086459,0.1222,4/1/2016,201601
14680925,0.006,4/1/2016,201601
14314886,0.0334,4/1/2016,201601
13983678,0.0611,4/1/2016,201601
11337402,0.0218,4/1/2016,201601
11198617,-0.0398,4/1/2016,201601
14162041,0.0159,4/1/2016,201601
12956411,-0.4277,4/1/2016,201601
12166017,-0.002,4/1/2016,201601
12956786,-0.0598,4/1/2016,201601
12393013,-0.001,4/1/2016,201601
14160852,0.0139,4/1/2016,201601
12062343,-0.0769,4/1/2016,201601
14667864,-0.007,4/1/2016,201601
12801486,0.0592,4/1/2016,201601
12168378,-0.1143,4/1/2016,201601
14171755,-0.0101,4/1/2016,201601
17197472,-0.2971,4/1/2016,201601
14678945,0.0363,4/1/2016,201601
12410022,0.2624,4/1/2016,201601
12462074,0.01,4/1/2016,201601
14600494,0.001,4/1/2016,201601
14664914,0.0276,4/1/2016,201601
12966592,-0.046,5/1/2016,201601
14199177,-0.006,5/1/2016,201601
14615180,-0.0387,5/1/2016,201601
12109114,0.0129,5/1/2016,201601
12021224,0.004,5/1/2016,201601
17297827,0.002,5/1/2016,201601
14455091,0.0286,5/1/2016,201601
12544321,0.004,5/1/2016,201601
11012271,0.007,5/1/2016,201601
12958294,-0.0598,5/1/2016,201601
17218326,-0.004,5/1/2016,201601
10980675,0.1151,5/1/2016,201601
14614625,-0.0263,5/1/2016,201601
14215092,0.01,5/1/2016,201601
12737237,0.0129,5/1/2016,201601
12737136,0.0296,5/1/2016,201601
14096632,-0.009,5/1/2016,201601
12109478,-0.0111,5/1/2016,201601
12021540,0.0149,5/1/2016,201601
14625084,0.0149,5/1/2016,201601
12276174,0,5/1/2016,201601
17226746,-0.0243,5/1/2016,201601
14745928,0.0305,5/1/2016,201601
11928703,-0.045,5/1/2016,201601
14066388,-0.0471,5/1/2016,201601
12507667,-0.0387,5/1/2016,201601
11580655,0.0363,5/1/2016,201601
11232862,-0.0253,5/1/2016,201601
10872805,-0.003,5/1/2016,201601
11110786,-0.007,5/1/2016,201601
10729725,-0.0253,5/1/2016,201601
12011448,0.0373,5/1/2016,201601
11563853,0.0421,5/1/2016,201601
14707107,0.0169,5/1/2016,201601
11000658,-0.0325,5/1/2016,201601
13887161,0.0276,5/1/2016,201601
12845729,-0.002,5/1/2016,201601
14081436,-0.0212,5/1/2016,201601
12106051,0.0354,5/1/2016,201601
10874827,0.1371,5/1/2016,201601
12845555,0.0344,5/1/2016,201601
12869822,0.0119,5/1/2016,201601
12718673,-0.0131,5/1/2016,201601
10774008,0.045,5/1/2016,201601
11569103,0.0564,5/1/2016,201601
13876358,-0.0856,5/1/2016,201601
13876785,-0.1485,5/1/2016,201601
11661193,-0.2033,5/1/2016,201601
12113474,-0.0866,5/1/2016,201601
12842652,-0.0263,5/1/2016,201601
12455288,-0.007,5/1/2016,201601
14073978,-0.007,5/1/2016,201601
14202062,0.045,5/1/2016,201601
17226441,0.0169,5/1/2016,201601
14091051,0.0237,5/1/2016,201601
13891350,0.0507,5/1/2016,201601
11120416,0.0325,5/1/2016,201601
12643095,-0.0192,5/1/2016,201601
12238089,-0.0315,5/1/2016,201601
12473123,0.0296,5/1/2016,201601
12964997,-0.0534,5/1/2016,201601
12644113,0.0497,5/1/2016,201601
10893738,0.0109,5/1/2016,201601
12004630,-0.2549,5/1/2016,201601
12454667,0.0296,5/1/2016,201601
12469692,-0.0346,5/1/2016,201601
11394220,-0.007,5/1/2016,201601
14679228,-0.064,5/1/2016,201601
14069135,0.0159,5/1/2016,201601
11750137,-0.046,5/1/2016,201601
17272543,-0.0121,5/1/2016,201601
14621037,-0.0367,5/1/2016,201601
13885158,0.0459,5/1/2016,201601
11594138,0.0411,5/1/2016,201601
14708442,0.1133,5/1/2016,201601
11741237,-0.0387,5/1/2016,201601
10996306,0.0325,5/1/2016,201601
10737032,0.1204,5/1/2016,201601
11246505,0.063,5/1/2016,201601
11007574,-0.0377,5/1/2016,201601
13891855,0.0383,5/1/2016,201601
10807148,0.0862,5/1/2016,201601
14641035,0.005,5/1/2016,201601
17226800,-0.006,5/1/2016,201601
11240447,0.0788,5/1/2016,201601
10895566,0.0227,5/1/2016,201601
17202259,0.1133,5/1/2016,201601
10880407,-0.0545,5/1/2016,201601
11659351,-0.005,5/1/2016,201601
12390731,0.0286,5/1/2016,201601
12982143,0.0392,5/1/2016,201601
17252569,-0.0545,5/1/2016,201601
14530800,-0.0429,5/1/2016,201601
12862271,-0.0619,5/1/2016,201601
11532589,-0.0111,5/1/2016,201601
12780574,0.0797,5/1/2016,201601
14066006,0.0421,5/1/2016,201601
13026301,0.062,5/1/2016,201601
11702757,0.0751,5/1/2016,201601
11060416,-0.0202,5/1/2016,201601
12594965,0.0178,5/1/2016,201601
14507300,0.004,5/1/2016,201601
12076748,-0.0492,5/1/2016,201601
12567149,0.0129,5/1/2016,201601
11088889,0.0469,5/1/2016,201601
11947002,-0.0899,5/1/2016,201601
14310517,0.077,5/1/2016,201601
13068303,-0.0346,5/1/2016,201601
14434812,0.002,5/1/2016,201601
11207559,0.0962,5/1/2016,201601
12483427,0.0296,5/1/2016,201601
11537781,0.0383,5/1/2016,201601
11945491,0.01,5/1/2016,201601
11945452,0.1204,5/1/2016,201601
11840865,-0.0346,5/1/2016,201601
11696137,-0.0651,5/1/2016,201601
12333068,-0.0233,5/1/2016,201601
11210592,0.0554,5/1/2016,201601
12766483,0.044,5/1/2016,201601
11191603,0.1106,5/1/2016,201601
17232555,0.0208,5/1/2016,201601
17105834,-0.0121,5/1/2016,201601
14736046,0.0363,5/1/2016,201601
13061710,0.063,5/1/2016,201601
14160402,0.0373,5/1/2016,201601
14161317,0.0507,5/1/2016,201601
14159542,0.0286,5/1/2016,201601
11712463,-0.007,5/1/2016,201601
11074225,0.0266,5/1/2016,201601
12061339,0.009,5/1/2016,201601
12061151,0.0266,5/1/2016,201601
11170382,0.0159,5/1/2016,201601
12384587,0.0188,5/1/2016,201601
12860573,0.0119,5/1/2016,201601
12576624,-0.0502,5/1/2016,201601
10756010,-0.0566,5/1/2016,201601
11711123,0.0953,5/1/2016,201601
12583261,-0.0758,5/1/2016,201601
11327631,-0.1188,5/1/2016,201601
11709883,-0.001,5/1/2016,201601
14742582,0.0497,5/1/2016,201601
17171828,0.1302,5/1/2016,201601
11830066,-0.0726,5/1/2016,201601
11463161,-0.0253,5/1/2016,201601
12366236,-0.3425,5/1/2016,201601
11082807,-0.0253,5/1/2016,201601
11757507,-0.0608,5/1/2016,201601
11719164,0.0344,5/1/2016,201601
11960355,-0.0243,5/1/2016,201601
17209989,0.01,5/1/2016,201601
14313550,0.1222,5/1/2016,201601
10839804,0.3968,5/1/2016,201601
12569823,-0.0171,5/1/2016,201601
10839224,0.3141,5/1/2016,201601
12447938,-0.0346,5/1/2016,201601
13018435,0.116,5/1/2016,201601
11094371,0.2508,5/1/2016,201601
11548973,-0.003,5/1/2016,201601
14685821,0.0247,5/1/2016,201601
14448665,0.0507,5/1/2016,201601
14118520,0.0159,5/1/2016,201601
12095630,0.0363,5/1/2016,201601
12614428,0.0247,5/1/2016,201601
10864293,0.0488,5/1/2016,201601
11186988,0.0459,5/1/2016,201601
14297635,0.0218,5/1/2016,201601
14604326,0.0383,5/1/2016,201601
13840974,-0.006,5/1/2016,201601
11031921,-0.0356,5/1/2016,201601
14496938,0.1275,5/1/2016,201601
12097784,-0.0987,5/1/2016,201601
14343698,0.0178,5/1/2016,201601
12867969,-0.004,5/1/2016,201601
14111931,0.0227,5/1/2016,201601
12100614,-0.0233,5/1/2016,201601
12985635,0.7453,5/1/2016,201601
11229204,-0.3552,5/1/2016,201601
13850164,-0.1567,5/1/2016,201601
13856560,-0.1462,5/1/2016,201601
11678644,-0.1972,5/1/2016,201601
14728726,0.0296,5/1/2016,201601
12011640,0.001,5/1/2016,201601
10870371,0.0989,5/1/2016,201601
12287390,0.0363,5/1/2016,201601
14104385,0.124,5/1/2016,201601
12828541,0.1756,5/1/2016,201601
14686077,0.0149,5/1/2016,201601
14687603,0.0286,5/1/2016,201601
13004684,0.0478,5/1/2016,201601
11495925,-0.008,5/1/2016,201601
11047246,-0.0212,5/1/2016,201601
13015746,0.0953,5/1/2016,201601
14663714,-0.002,5/1/2016,201601
12920545,0.003,5/1/2016,201601
14602457,0.0677,5/1/2016,201601
12939969,-0.0315,5/1/2016,201601
12759574,0.0129,5/1/2016,201601
14446998,-0.0243,5/1/2016,201601
14219543,0.0411,5/1/2016,201601
13088597,0.0119,5/1/2016,201601
11499071,0.0871,5/1/2016,201601
12758851,0.25,5/1/2016,201601
12325153,0.0751,5/1/2016,201601
12324895,0.0208,5/1/2016,201601
17243641,0.0344,5/1/2016,201601
11941213,-0.1684,5/1/2016,201601
12609176,0.0218,5/1/2016,201601
11317322,0.0421,5/1/2016,201601
10860946,0.0169,5/1/2016,201601
12045389,0.0714,5/1/2016,201601
14181542,0.0392,5/1/2016,201601
11546051,0.1714,5/1/2016,201601
10805689,0.0507,5/1/2016,201601
12320257,-0.002,5/1/2016,201601
11041746,0.0898,5/1/2016,201601
17260292,-0.009,5/1/2016,201601
14338816,-0.0325,5/1/2016,201601
12915862,-0.0161,5/1/2016,201601
10805692,0.0178,5/1/2016,201601
12819525,0.062,5/1/2016,201601
11687100,-0.1602,5/1/2016,201601
12957131,-0.2485,5/1/2016,201601
12137364,-0.0481,5/1/2016,201601
11885914,0.0602,5/1/2016,201601
12710764,0.1062,5/1/2016,201601
11908948,0.003,5/1/2016,201601
12001726,0.088,5/1/2016,201601
12212533,0.3478,5/1/2016,201601
11903377,0.0325,5/1/2016,201601
12675095,-0.1165,5/1/2016,201601
11656905,0.0129,5/1/2016,201601
13947548,0.0564,5/1/2016,201601
11634189,0.0139,5/1/2016,201601
12219524,-0.0408,5/1/2016,201601
11890296,-0.0253,5/1/2016,201601
17116334,-0.0367,5/1/2016,201601
12684286,-0.0111,5/1/2016,201601
13975959,0.009,5/1/2016,201601
14382837,0.006,5/1/2016,201601
12191628,0.0797,5/1/2016,201601
10728399,0.0257,5/1/2016,201601
11618065,0.0564,5/1/2016,201601
13968748,0.1604,5/1/2016,201601
14056841,0.0344,5/1/2016,201601
12687179,0.0286,5/1/2016,201601
11267334,-0.0943,5/1/2016,201601
14006983,0.0109,5/1/2016,201601
14264899,0.0431,5/1/2016,201601
10954606,0.0247,5/1/2016,201601
14030664,0.2776,5/1/2016,201601
14716372,0.005,5/1/2016,201601
10902690,0.0129,5/1/2016,201601
12687504,0.0227,5/1/2016,201601
14717556,0.005,5/1/2016,201601
17055852,-0.0131,5/1/2016,201601
10933323,-0.1054,5/1/2016,201601
11898674,0.0507,5/1/2016,201601
11886906,0.1196,5/1/2016,201601
12684085,0.1415,5/1/2016,201601
14616139,-0.0233,5/1/2016,201601
11994703,0.009,5/1/2016,201601
14417404,-0.0336,5/1/2016,201601
11779346,0.0373,5/1/2016,201601
12227848,0.1748,5/1/2016,201601
17285630,0.0402,5/1/2016,201601
13945053,-0.1393,5/1/2016,201601
12185514,-0.0233,5/1/2016,201601
11644320,-0.0131,5/1/2016,201601
10968472,-0.0182,5/1/2016,201601
11626960,0.0554,5/1/2016,201601
14000144,0.0257,5/1/2016,201601
14458350,0.007,5/1/2016,201601
12222991,-0.2169,5/1/2016,201601
14744376,0.0431,5/1/2016,201601
14390486,0.0129,5/1/2016,201601
12692473,0.044,5/1/2016,201601
11606616,-0.0294,5/1/2016,201601
12666369,0.0169,5/1/2016,201601
11616509,-0.004,5/1/2016,201601
12206553,-0.0141,5/1/2016,201601
11620624,0.0383,5/1/2016,201601
10792574,-0.2497,5/1/2016,201601
10905399,-0.1661,5/1/2016,201601
17112436,0.001,5/1/2016,201601
11600569,0.198,5/1/2016,201601
10936510,0.0816,5/1/2016,201601
11259733,0.0478,5/1/2016,201601
14016074,0.0149,5/1/2016,201601
17191384,0.0276,5/1/2016,201601
14613040,0.0188,6/1/2016,201601
14696697,0.008,6/1/2016,201601
12695528,0.0266,6/1/2016,201601
11212802,0.0507,6/1/2016,201601
11046542,0.0469,6/1/2016,201601
14270051,0.0526,6/1/2016,201601
10833932,0.0119,6/1/2016,201601
10726368,-0.003,6/1/2016,201601
11941611,-0.1948,6/1/2016,201601
14369364,0.0109,6/1/2016,201601
10933058,-0.0726,6/1/2016,201601
14297659,-0.0202,6/1/2016,201601
12608384,0.0227,6/1/2016,201601
13872929,-0.1358,6/1/2016,201601
14238710,-0.003,6/1/2016,201601
12710013,0.1647,6/1/2016,201601
11172525,-0.0202,6/1/2016,201601
11651686,0.2799,6/1/2016,201601
11399588,0.0334,6/1/2016,201601
12273348,0.1284,6/1/2016,201601
12577041,0.0266,6/1/2016,201601
17269974,0.0315,6/1/2016,201601
14216846,0.0305,6/1/2016,201601
12871361,0.0431,6/1/2016,201601
12988908,0.0889,6/1/2016,201601
12190264,0.002,6/1/2016,201601
12085145,-0.0377,6/1/2016,201601
14231798,-0.005,6/1/2016,201601
12265617,0.01,6/1/2016,201601
12084809,0.1647,6/1/2016,201601
12899850,0.077,6/1/2016,201601
14316448,-0.0576,6/1/2016,201601
11455214,0.01,6/1/2016,201601
12201980,-0.1543,6/1/2016,201601
11572798,0.157,6/1/2016,201601
11304161,-0.0325,6/1/2016,201601
12054651,0.0554,6/1/2016,201601
17080594,0.044,6/1/2016,201601
11109235,0.1044,6/1/2016,201601
14635473,0.076,6/1/2016,201601
17149648,-0.008,6/1/2016,201601
14192576,-0.0111,6/1/2016,201601
14490801,0.0218,6/1/2016,201601
14669425,0.1062,6/1/2016,201601
12562286,0.2038,6/1/2016,201601
12093481,0.0276,6/1/2016,201601
14335184,0,6/1/2016,201601
17197897,0.0109,6/1/2016,201601
12203672,-0.0576,6/1/2016,201601
14296555,-0.3202,6/1/2016,201601
12557553,0.1007,6/1/2016,201601
14729085,0.0188,6/1/2016,201601
12216283,0.0411,6/1/2016,201601
11669507,-0.0419,6/1/2016,201601
12207600,-0.1301,6/1/2016,201601
11194389,0.0119,6/1/2016,201601
11726202,-0.007,6/1/2016,201601
12019094,0.0334,6/1/2016,201601
13998755,0.0742,6/1/2016,201601
12062283,0.0834,6/1/2016,201601
12529831,0.0119,6/1/2016,201601
11733280,-0.0161,6/1/2016,201601
10965125,-0.0769,6/1/2016,201601
12060270,0.0354,6/1/2016,201601
11215822,0.0853,6/1/2016,201601
12431033,-0.0274,6/1/2016,201601
12911343,0.044,6/1/2016,201601
17243434,0.0344,6/1/2016,201601
12428562,0.0149,6/1/2016,201601
11561423,0.0843,6/1/2016,201601
14271240,0.0198,6/1/2016,201601
11307414,-0.007,6/1/2016,201601
11995225,0.0686,6/1/2016,201601
11018310,0.005,6/1/2016,201601
11173100,-0.2971,6/1/2016,201601
17212494,0.0139,6/1/2016,201601
14043156,-0.0243,6/1/2016,201601
11466276,0.0344,6/1/2016,201601
11188742,0.0658,6/1/2016,201601
12858481,-0.2095,6/1/2016,201601
12743839,0.0305,6/1/2016,201601
11453603,0.1947,6/1/2016,201601
12525823,0.0296,6/1/2016,201601
17280214,0.0129,6/1/2016,201601
12753214,0.0198,6/1/2016,201601
12876918,0,6/1/2016,201601
12101401,-0.0171,6/1/2016,201601
10869690,0.045,6/1/2016,201601
14382755,-0.007,6/1/2016,201601
11498745,-0.2863,6/1/2016,201601
14346375,-0.0284,6/1/2016,201601
12935277,0.1613,6/1/2016,201601
10939671,0.1781,6/1/2016,201601
11172847,0.1071,6/1/2016,201601
10757067,0.0344,6/1/2016,201601
11497751,-0.0294,6/1/2016,201601
10869903,0.0723,6/1/2016,201601
13096901,0.0159,6/1/2016,201601
14754630,0.002,6/1/2016,201601
14671984,0.0257,6/1/2016,201601
11609388,0.0119,6/1/2016,201601
12511759,0.004,6/1/2016,201601
17112764,0.0478,6/1/2016,201601
14167502,0.005,6/1/2016,201601
11752546,0.0315,6/1/2016,201601
12283914,0.0208,6/1/2016,201601
12998599,0.0227,6/1/2016,201601
13012838,0.0421,6/1/2016,201601
11296456,-0.005,6/1/2016,201601
12100991,0.0169,6/1/2016,201601
11611867,-0.079,6/1/2016,201601
13093014,0.0227,6/1/2016,201601
10764818,0.01,6/1/2016,201601
14501045,0.0266,6/1/2016,201601
13983419,0.5295,6/1/2016,201601
12100973,-0.0812,6/1/2016,201601
11495019,-0.0471,6/1/2016,201601
11096107,0.0149,6/1/2016,201601
17094721,0.1527,6/1/2016,201601
11752212,0.0421,6/1/2016,201601
11926273,0.2111,6/1/2016,201601
